Asset Combination,Confidence Level,Method,Breach Rate,Expected Breach Rate,Breach Ratio,Kupiec p-value,Christoffersen p-value,Avg Computation Time (s)
"EURUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.01607050285121825,0.010000000000000009,1.6070502851218236,0.00970697516570762,0.31413175255226833,0.0001998
"EURUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.010368066355624676,0.010000000000000009,1.0368066355624668,0.5129250389582162,0.5172890900891136,0.040252
"EURUSD1440, USDJPY1440",99%,Quantum VaR,0.006220839813374806,0.010000000000000009,0.62208398133748,0.06299680620962977,0.698235340155497,2.9758137
"GBPUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.05754276827371695,0.050000000000000044,1.150855365474338,0.0002267701241994713,0.2987822642459047,0.0002048
"GBPUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.05287713841368585,0.050000000000000044,1.057542768273716,0.001018260489441536,0.2658890421253578,0.0002425
"GBPUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.052358735095904614,0.050000000000000044,1.0471747019180913,0.0011407681497346278,0.11803922110301657,0.046522
"GBPUSD1440, USDJPY1440",95%,Quantum VaR,0.00414722654224987,0.050000000000000044,0.08294453084499734,0,0.796253126456058,1.3800993
"GBPUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.011923276308968377,0.010000000000000009,1.1923276308968367,0.28538466924848116,0.4561220172476894,0.0001628
"GBPUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.02021772939346812,0.010000000000000009,2.02177293934681,4.921550697545296e-05,0.8155897823998878,0.0002067
"GBPUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.012441679626749611,0.010000000000000009,1.24416796267496,0.21159812554971846,0.43665463637507484,0.044452
"GBPUSD1440, USDJPY1440",99%,Quantum VaR,0.00414722654224987,0.010000000000000009,0.41472265422498666,0.003138597275452626,0.796253126456058,1.9725808
"AUDUSD1440, EURUSD1440, GBPUSD1440",95%,Historical Simulation VaR,0.05132192846034215,0.050000000000000044,1.026438569206842,0.0013844054745845158,0.20449179304550724,0.0001495
"AUDUSD1440, EURUSD1440, GBPUSD1440",95%,Parametric (Variance-Covariance) VaR,0.054950751684810784,0.050000000000000044,1.0990150336962148,0.0005797567464860265,0.005843452778900637,0.0001787
"AUDUSD1440, EURUSD1440, GBPUSD1440",95%,Monte Carlo VaR,0.049766718506998445,0.050000000000000044,0.9953343701399681,0.0016978322306498983,0.002922653746357473,0.097061
"AUDUSD1440, EURUSD1440, GBPUSD1440",95%,Quantum VaR,0.005702436495593572,0.050000000000000044,0.11404872991187134,0,1.2575015406190992e-05,3.0204661
"AUDUSD1440, EURUSD1440, GBPUSD1440",99%,Historical Simulation VaR,0.012960082944530845,0.010000000000000009,1.2960082944530833,0.1508082368849799,0.003351917893976708,0.0002357
